[2024-07-21 10:25:09,693: INFO: main: welcome to custum logging]
[2024-07-21 11:16:02,146: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-21 11:16:02,149: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-21 11:16:02,150: INFO: common: created directory at: artifacts]
[2024-07-21 11:16:02,151: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-21 11:17:03,232: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-21 11:17:03,233: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-21 11:17:03,234: INFO: common: created directory at: artifacts]
[2024-07-21 11:17:03,257: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-21 11:17:03,258: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-21 11:17:15,359: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-21 11:41:47,904: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-21 11:41:47,905: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-21 11:41:47,906: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-21 11:41:47,907: INFO: common: created directory at: artifacts]
[2024-07-21 11:41:47,907: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-21 11:41:47,908: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-21 11:41:59,777: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-21 11:42:00,356: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-07-22 11:23:24,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-22 11:23:24,294: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 11:23:24,297: INFO: common: created directory at: artifacts]
[2024-07-22 11:24:58,407: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-22 11:24:58,409: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 11:24:58,412: INFO: common: created directory at: artifacts]
[2024-07-22 11:29:15,471: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-22 11:29:15,473: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 11:29:15,473: INFO: common: created directory at: artifacts]
[2024-07-22 11:29:15,474: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-22 12:09:55,546: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-22 12:09:55,556: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-22 12:09:55,557: INFO: common: created directory at: artifacts]
[2024-07-22 12:09:55,558: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-07-22 12:10:25,559: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-07-22 12:10:25,715: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
